review_id,entity_type,entity_id,issue_type,issue_detail,suggested_fix,source_url,priority,status,resolved_at,notes
rev_00001,player,p_alg_achraf_abada_19289ff4,no_wikidata_match,No Wikidata candidates found for Achraf Abada.,"Search Wikidata manually using alternate spellings, accents, or full legal name.",,medium,open,,
rev_00002,player,p_alg_melvin_masstil_9362665c,no_wikidata_match,No Wikidata candidates found for Melvin Masstil.,"Search Wikidata manually using alternate spellings, accents, or full legal name.",,medium,open,,
rev_00003,player,p_alg_mohamed_amine_amoura_56f3780c,no_wikidata_match,No Wikidata candidates found for Mohamed Amine Amoura.,"Search Wikidata manually using alternate spellings, accents, or full legal name.",,medium,open,,
rev_00004,player,p_alg_nadir_benbouali_bb5a8a6a,no_wikidata_match,No Wikidata candidates found for Nadir Benbouali.,"Search Wikidata manually using alternate spellings, accents, or full legal name.",,medium,open,,
rev_00005,player,p_alg_yassine_titraoui_dce1a510,no_wikidata_match,No Wikidata candidates found for Yassine Titraoui.,"Search Wikidata manually using alternate spellings, accents, or full legal name.",,medium,open,,
rev_00006,player,p_alg_zinedine_belaid_80b40d09,no_wikidata_match,No Wikidata candidates found for Zinedine Belaid.,"Search Wikidata manually using alternate spellings, accents, or full legal name.",,medium,open,,
rev_00007,player,p_arg_nicolas_gonzalez_fbfd120f,ambiguous_wikidata_match,Nicolás González needs manual Wikidata review. Top candidate Q43381082 scored 163 with margin 13.,"Review candidate https://www.wikidata.org/wiki/Q43381082. If correct, copy Q43381082 into players.wikidata_id.",https://www.wikidata.org/wiki/Q43381082,high,open,,
rev_00008,player,p_aus_paul_okon_jr_7510a440,no_wikidata_match,No Wikidata candidates found for Paul Okon Jr.,"Search Wikidata manually using alternate spellings, accents, or full legal name.",,medium,open,,
rev_00009,player,p_aut_david_affengruber_571b6252,ambiguous_wikidata_match,David Affengruber needs manual Wikidata review. Top candidate Q65948590 scored 163 with margin 10.,"Review candidate https://www.wikidata.org/wiki/Q65948590. If correct, copy Q65948590 into players.wikidata_id.",https://www.wikidata.org/wiki/Q65948590,high,open,,
rev_00010,player,p_bra_alex_sandro_90bade89,ambiguous_wikidata_match,Alex Sandro needs manual Wikidata review. Top candidate Q551192 scored 163 with margin 18.,"Review candidate https://www.wikidata.org/wiki/Q551192. If correct, copy Q551192 into players.wikidata_id.",https://www.wikidata.org/wiki/Q551192,high,open,,
