city_key,country,city,preferred_city_query,latitude,longitude,geocode_source,geocode_source_url,match_confidence,review_notes
england__london__a0c2be3a,England,London,"London, England",51.50853,-0.12574,geonames_searchJSON,https://www.geonames.org/2643743,high,GeoNames name_equals match; selected 'London'; admin 'England'; feature PPLC; population 8961989; 3.2 km from trusted local centroid; top-vs-next score margin 95.3; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
qatar__doha__d0c76c19,Qatar,Doha,"Doha, Qatar",25.28545,51.53096,geonames_searchJSON,https://www.geonames.org/290030,high,GeoNames name_equals match; selected 'Doha'; admin 'بَلَدِيَّة اَلدَّوْحَة'; feature PPLC; population 344939; 5.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
argentina__buenos-aires__c0c3273b,Argentina,Buenos Aires,"Buenos Aires, Argentina",-34.61315,-58.37723,geonames_searchJSON,https://www.geonames.org/3435910,high,GeoNames name_equals match; selected 'Buenos Aires'; admin 'Buenos Aires C.F.'; feature PPLC; population 2891082; 6.1 km from trusted local centroid; top-vs-next score margin 104.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
brazil__rio-de-janeiro__461176f5,Brazil,Rio de Janeiro,"Rio de Janeiro, Brazil",-22.90642,-43.18223,geonames_searchJSON,https://www.geonames.org/3451190,high,GeoNames name_equals match; selected 'Rio de Janeiro'; admin 'Rio de Janeiro'; feature PPLA; population 6747815; 6.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
costa-rica__san-juan__a0944c5a,Costa Rica,San Juan,"San Juan, Costa Rica",9.96188,-84.07876,geonames_searchJSON,https://www.geonames.org/3621819,medium,GeoNames name_equals match; selected 'San Juan'; admin 'San José'; feature PPL; population 26047; 0.5 km from trusted local centroid; top-vs-next score margin 11.6; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
cyprus__kolossi__faffbad3,Cyprus,Kolossi,"Kolossi, Cyprus",34.66865,32.93375,geonames_searchJSON,https://www.geonames.org/146451,high,GeoNames name_equals match; selected 'Kolossi'; admin 'Επαρχία Λάρνακας'; feature PPL; population 6478; 2.8 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
egypt__cairo__f51a7213,Egypt,Cairo,"Cairo, Egypt",30.06263,31.24967,geonames_searchJSON,https://www.geonames.org/360630,high,GeoNames name_equals match; selected 'Cairo'; admin 'القاهرة'; feature PPLC; population 9606916; 12.3 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
iraq__baghdad__3a5c37cd,Iraq,Baghdad,"Baghdad, Iraq",33.34058,44.40088,geonames_searchJSON,https://www.geonames.org/98182,high,GeoNames name_equals match; selected 'Baghdad'; admin 'بغداد'; feature PPLC; population 7216000; 2.0 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
portugal__lisbon__1241cb97,Portugal,Lisbon,"Lisbon, Portugal",38.72509,-9.1498,geonames_searchJSON,https://www.geonames.org/2267057,high,GeoNames name_equals match; selected 'Lisbon'; admin 'Lisboa'; feature PPLC; population 517802; 4.1 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
russia__moscow__d2e4137f,Russia,Moscow,"Moscow, Russia",55.75204,37.61781,geonames_searchJSON,https://www.geonames.org/524901,high,GeoNames name_equals match; selected 'Moscow'; admin 'Москва'; feature PPLC; population 10381222; 6.7 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
spain__madrid__5681c685,Spain,Madrid,"Madrid, Spain",40.4165,-3.70256,geonames_searchJSON,https://www.geonames.org/3117735,high,GeoNames name_equals match; selected 'Madrid'; admin 'Madrid'; feature PPLC; population 3255944; 4.7 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
australia__melbourne__9da5b18f,Australia,Melbourne,"Melbourne, Australia",-37.814,144.96332,geonames_searchJSON,https://www.geonames.org/2158177,high,GeoNames name_equals match; selected 'Melbourne'; admin 'Victoria'; feature PPLA; population 5350705; 2.3 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
germany__frankfurt__2bebe28f,Germany,Frankfurt,"Frankfurt, Germany",50.11552,8.68417,geonames_searchJSON,https://www.geonames.org/2925536,medium,GeoNames name_equals match; selected 'Frankfurt'; admin 'Bayern'; feature PPLL; 141.9 km from trusted local centroid; top-vs-next score margin 24.6; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Manually corrected to current coordinates for Frankfurt am Main.
belgium__genk__27fe367c,Belgium,Genk,"Genk, Belgium",50.965,5.50082,geonames_searchJSON,https://www.geonames.org/2797670,high,GeoNames name_equals match; selected 'Genk'; admin 'Vlaanderen'; feature PPL; population 63666; 5.0 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
brazil__porto-alegre__1598d89e,Brazil,Porto Alegre,"Porto Alegre, Brazil",-30.03283,-51.23019,geonames_searchJSON,https://www.geonames.org/3452925,high,GeoNames name_equals match; selected 'Porto Alegre'; admin 'Rio Grande do Sul'; feature PPLA; population 1488252; 2.1 km from trusted local centroid; top-vs-next score margin 102.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
brazil__sao-paulo__030406e0,Brazil,São Paulo,"São Paulo, Brazil",-23.5475,-46.63611,geonames_searchJSON,https://www.geonames.org/3448439,high,GeoNames name_equals match; selected 'São Paulo'; admin 'São Paulo'; feature PPLA; population 12400232; 6.2 km from trusted local centroid; top-vs-next score margin 102.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
croatia__maksimir__c03d5bcd,Croatia,Maksimir,"Maksimir, Croatia",45.81872,16.01328,geonames_searchJSON,https://www.geonames.org/3195879,high,GeoNames name_equals match; selected 'Maksimir'; admin 'Zagreb'; feature PPLX; 0.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
czech-republic__prague__dc3d7ea0,Czech Republic,Prague,"Prague, Czech Republic",50.08804,14.42076,geonames_searchJSON,https://www.geonames.org/3067696,high,GeoNames name_equals match; selected 'Prague'; admin 'Praha'; feature PPLC; population 1165581; 1.7 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
denmark__farum__0840ef46,Denmark,Farum,"Farum, Denmark",55.80858,12.36066,geonames_searchJSON,https://www.geonames.org/2622306,high,GeoNames name_equals match; selected 'Farum'; admin 'Region Hovedstaden'; feature PPLA2; population 20312; 0.9 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
